,open,high,low,close,volume
2019-10-25,87.35,90.1886,87.35,90.11,1238167.0
2019-10-24,88.53,88.77,87.24,87.68,1520000.0
2019-10-23,89.1,90.04,88.49,89.04,1529000.0
2019-10-22,86.58,88.91,86.09,88.85,1117900.0
2019-10-21,87.02,87.5,86.17,86.81,878500.0
2019-10-18,86.74,87.3,85.88,86.56,1040400.0
2019-10-17,86.36,87.01,86.27,86.66,1085200.0
2019-10-16,84.25,86.68,84.16,86.0,1653500.0
2019-10-15,84.73,86.25,84.36,85.29,1361500.0
2019-10-14,85.24,85.67,84.7,85.32,799900.0
2019-10-11,84.96,86.17,84.96,85.25,954700.0
2019-10-10,82.87,84.37,82.87,84.33,867600.0
2019-10-09,82.83,83.34,82.63,83.02,578200.0
2019-10-08,82.95,82.95,82.11,82.15,1046000.0
2019-10-07,82.93,83.85,82.2,83.43,771600.0
2019-10-04,82.37,83.47,82.36,83.29,759300.0
2019-10-03,81.95,82.47,80.88,82.1,1252300.0
2019-10-02,83.26,84.06,82.0,82.2,1845600.0
2019-10-01,85.21,85.88,83.04,83.57,1262000.0
2019-09-30,84.23,85.26,84.17,84.78,1073500.0
2019-09-27,84.59,84.88,83.36,83.79,699200.0
2019-09-26,84.48,84.65,84.02,84.09,620400.0
2019-09-25,83.46,84.97,83.2,84.86,1064700.0
2019-09-24,84.23,84.56,83.01,83.18,1087800.0
2019-09-23,84.27,84.55,83.7,83.89,858800.0
2019-09-20,86.1,86.33,84.06,84.5,1623100.0
2019-09-19,86.38,86.6,85.48,85.6,959600.0
2019-09-18,85.67,86.94,84.92,86.79,1212200.0
2019-09-17,85.5,86.4,84.64,86.25,1322900.0
2019-09-16,86.36,86.83,84.74,85.29,982200.0
2019-09-13,86.5,87.42,86.37,87.1,1040000.0
2019-09-12,89.07,89.07,85.92,86.45,1145700.0
2019-09-11,86.61,89.17,85.75,89.07,2302000.0
2019-09-10,83.44,87.39,83.41,86.7,2586100.0
2019-09-09,83.42,83.8,82.47,83.29,1470700.0
2019-09-06,84.24,84.64,83.11,83.28,1586200.0
2019-09-05,83.12,84.12,83.04,83.94,853900.0
2019-09-04,82.67,83.24,82.23,82.76,917200.0
2019-09-03,83.68,84.5,81.88,82.05,1355300.0
2019-08-30,84.6,85.5,84.22,84.49,819400.0
2019-08-29,84.0,85.31,83.76,84.12,881900.0
2019-08-28,82.34,83.53,81.69,83.17,1004600.0
2019-08-27,83.68,83.92,82.21,82.33,930500.0
2019-08-26,82.67,83.21,82.12,83.09,892300.0
2019-08-23,83.58,83.58,81.88,82.23,1166200.0
2019-08-22,84.43,84.73,83.15,83.72,1237600.0
2019-08-21,84.76,85.16,84.15,84.26,1140700.0
2019-08-20,84.42,84.84,83.7,84.17,1491200.0
2019-08-19,84.62,85.81,84.1,84.31,1474500.0
2019-08-16,83.53,84.33,82.87,83.82,1075700.0
2019-08-15,82.64,83.16,81.9999,82.9,1027700.0
2019-08-14,83.66,84.01,82.1,82.39,1097300.0
2019-08-13,84.53,85.58,83.81,84.63,1104700.0
2019-08-12,84.26,85.11,83.58,84.43,1097500.0
2019-08-09,86.0896,87.06,84.4,84.48,1800200.0
2019-08-08,83.75,86.47,83.6,86.06,1821000.0
2019-08-07,80.91,83.67,80.53,83.5,2055800.0
2019-08-06,81.72,82.2,80.87,81.33,1005000.0
